Date,Value,Currency Value,Status,Description
1965-03-01 00:00:00,6.68,C$6.68,Released,Set 001-1 was released
1965-03-01 00:00:00,6.68,C$6.68,Released,Set 001-1 was released
1965-03-01 00:00:00,6.68,C$6.68,Released,Set 001-1 was released
1965-03-01 00:00:00,6.68,C$6.68,Released,Set 001-1 was released
1965-03-01 00:00:00,6.68,C$6.68,Released,Set 001-1 was released
2016-06-28 00:00:00,67.5,C$67.50,null,null
2018-03-22 00:00:00,108.0,C$108.00,null,null
2020-01-22 00:00:00,202.5,C$202.50,null,null
2021-01-21 00:00:00,243.0,C$243.00,null,null
2022-01-09 00:00:00,229.49,C$229.49,null,null
2022-01-21 00:00:00,268.65,C$268.65,null,null
2022-01-15 00:00:00,168.68,C$168.68,null,null
2023-09-09 00:00:00,597.24,C$597.24,null,null
2023-12-12 00:00:00,597.24,C$597.24,null,null
1974-12-01 00:00:00,8.31,C$8.31,null,null
1975-12-01 00:00:00,11.37,C$11.37,null,null
1976-12-01 00:00:00,25.93,C$25.93,null,null
1977-12-01 00:00:00,19.31,C$19.31,null,null
1978-12-01 00:00:00,34.97,C$34.97,null,null
1979-12-01 00:00:00,59.62,C$59.62,null,null
1980-12-01 00:00:00,50.48,C$50.48,null,null
1981-12-01 00:00:00,72.06,C$72.06,null,null
1982-12-01 00:00:00,48.24,C$48.24,null,null
1983-12-01 00:00:00,56.33,C$56.33,null,null
1984-12-01 00:00:00,66.98,C$66.98,null,null
1985-12-01 00:00:00,115.1,C$115.10,null,null
1986-12-01 00:00:00,100.27,C$100.27,null,null
1987-12-01 00:00:00,99.48,C$99.48,null,null
1988-12-01 00:00:00,115.54,C$115.54,null,null
1989-12-01 00:00:00,109.3,C$109.30,null,null
1990-12-01 00:00:00,107.12,C$107.12,null,null
1991-12-01 00:00:00,170.17,C$170.17,null,null
1992-12-01 00:00:00,137.21,C$137.21,null,null
1993-12-01 00:00:00,103.92,C$103.92,null,null
1994-12-01 00:00:00,134.64,C$134.64,null,null
1995-12-01 00:00:00,121.26,C$121.26,null,null
1996-12-01 00:00:00,220.16,C$220.16,null,null
1997-12-01 00:00:00,150.4,C$150.40,null,null
1998-12-01 00:00:00,163.11,C$163.11,null,null
1999-12-01 00:00:00,173.56,C$173.56,null,null
2000-12-01 00:00:00,138.43,C$138.43,null,null
2001-12-01 00:00:00,177.56,C$177.56,null,null
2002-12-01 00:00:00,200.23,C$200.23,null,null
2003-12-01 00:00:00,142.38,C$142.38,null,null
2004-12-01 00:00:00,260.27,C$260.27,null,null
2005-12-01 00:00:00,151.19,C$151.19,null,null
2006-12-01 00:00:00,210.41,C$210.41,null,null
2007-06-01 00:00:00,222.25,C$222.25,null,null
2007-12-01 00:00:00,194.43,C$194.43,null,null
2008-06-01 00:00:00,267.77,C$267.77,null,null
2008-12-01 00:00:00,256.56,C$256.56,null,null
2009-06-01 00:00:00,182.49,C$182.49,null,null
2009-12-01 00:00:00,198.66,C$198.66,null,null
2010-06-01 00:00:00,228.27,C$228.27,null,null
2010-12-01 00:00:00,242.44,C$242.44,null,null
2011-06-01 00:00:00,263.59,C$263.59,null,null
2011-12-01 00:00:00,274.66,C$274.66,null,null
2012-06-01 00:00:00,365.07,C$365.07,null,null
2012-12-01 00:00:00,232.23,C$232.23,null,null
2013-06-01 00:00:00,236.76,C$236.76,null,null
2013-12-01 00:00:00,214.29,C$214.29,null,null
2014-06-01 00:00:00,277.9,C$277.90,null,null
2014-12-01 00:00:00,350.64,C$350.64,null,null
2015-06-01 00:00:00,268.5,C$268.50,null,null
2015-12-01 00:00:00,234.98,C$234.98,null,null
2016-06-01 00:00:00,266.51,C$266.51,null,null
2016-12-01 00:00:00,209.79,C$209.79,null,null
2017-06-01 00:00:00,241.62,C$241.62,null,null
2017-12-01 00:00:00,226.89,C$226.89,null,null
2018-06-01 00:00:00,370.14,C$370.14,null,null
2018-12-01 00:00:00,353.41,C$353.41,null,null
2019-06-01 00:00:00,334.7,C$334.70,null,null
2019-12-01 00:00:00,403.92,C$403.92,null,null
2020-06-01 00:00:00,245.29,C$245.29,null,null
2020-12-01 00:00:00,270.35,C$270.35,null,null
2021-06-01 00:00:00,361.97,C$361.97,null,null
2021-12-01 00:00:00,227.42,C$227.42,null,null
2022-06-01 00:00:00,279.9,C$279.90,null,null
2022-12-01 00:00:00,242.85,C$242.85,null,null
2023-06-01 00:00:00,357.48,C$357.48,null,null
2023-12-01 00:00:00,275.62,C$275.62,null,null
2024-02-28 00:00:00,597.24,C$597.24,Today C$597.24,Today\
2024-08-28 00:00:00,620.19,C$622.66,Estimate,Estimated value of this set
2025-02-28 00:00:00,663.52,,null,null
2026-02-28 00:00:00,701.8,,null,null
2027-02-28 00:00:00,735.26,,null,null
