Date,Value 1,Value 2,Value 3,Value 4,Description
2009-01-01 00:00:00,427.14,443.22,491.44,523.59,January 2009   C$443.22 - C$491.44
2009-02-01 00:00:00,410.13,432.91,501.27,546.84,February 2009   C$432.91 - C$501.27
2009-03-01 00:00:00,403.71,418.91,464.49,494.87,March 2009   C$418.91 - C$464.49
2009-04-01 00:00:00,411.61,434.47,503.08,548.81,April 2009   C$434.47 - C$503.08
2009-05-01 00:00:00,430.28,446.48,495.06,527.44,May 2009   C$446.48 - C$495.06
2009-06-01 00:00:00,396.94,418.99,485.14,529.25,June 2009   C$418.99 - C$485.14
2009-07-01 00:00:00,431.88,448.13,496.89,529.4,July 2009   C$448.13 - C$496.89
2009-08-01 00:00:00,414.67,437.7,506.82,552.89,August 2009   C$437.70 - C$506.82
2009-09-01 00:00:00,408.25,423.61,469.71,500.44,September 2009   C$423.61 - C$469.71
2009-10-01 00:00:00,416.2,439.32,508.69,554.93,October 2009   C$439.32 - C$508.69
2009-11-01 00:00:00,464.67,482.16,534.62,569.59,November 2009   C$482.16 - C$534.62
2009-12-01 00:00:00,470.97,497.13,575.63,627.96,December 2009   C$497.13 - C$575.63
2010-01-01 00:00:00,436.7,453.13,502.44,535.31,January 2010   C$453.13 - C$502.44
2010-02-01 00:00:00,419.28,442.58,512.46,559.05,February 2010   C$442.58 - C$512.46
2010-03-01 00:00:00,412.71,428.24,474.84,505.91,March 2010   C$428.24 - C$474.84
2010-04-01 00:00:00,420.76,444.14,514.27,561.02,April 2010   C$444.14 - C$514.27
2010-05-01 00:00:00,439.84,456.39,506.05,539.16,May 2010   C$456.39 - C$506.05
2010-06-01 00:00:00,405.73,428.28,495.9,540.98,June 2010   C$428.28 - C$495.90
2010-07-01 00:00:00,441.44,458.05,507.89,541.11,July 2010   C$458.05 - C$507.89
2010-08-01 00:00:00,423.83,447.37,518.01,565.1,August 2010   C$447.37 - C$518.01
2010-09-01 00:00:00,417.25,432.95,480.06,511.47,September 2010   C$432.95 - C$480.06
2010-10-01 00:00:00,425.36,448.99,519.88,567.14,October 2010   C$448.99 - C$519.88
2010-11-01 00:00:00,474.87,492.75,546.36,582.1,November 2010   C$492.75 - C$546.36
2010-12-01 00:00:00,481.29,508.03,588.25,641.72,December 2010   C$508.03 - C$588.25
2011-01-01 00:00:00,446.25,463.05,513.43,547.02,January 2011   C$463.05 - C$513.43
2011-02-01 00:00:00,428.44,452.24,523.65,571.26,February 2011   C$452.24 - C$523.65
2011-03-01 00:00:00,421.71,437.58,485.2,516.94,March 2011   C$437.58 - C$485.20
2011-04-01 00:00:00,429.92,453.81,525.46,573.23,April 2011   C$453.81 - C$525.46
