Date,Value,Currency Value,Status,Description
1979-01-01 00:00:00,2.69,C$2.69,Released,Set was released
1980-01-01 00:00:00,7.4,C$7.40,null,null
1982-01-01 00:00:00,40.57,C$40.57,null,null
1984-01-01 00:00:00,46.13,C$46.13,null,null
1986-01-01 00:00:00,59.61,C$59.61,null,null
1988-01-01 00:00:00,82.83,C$82.83,null,null
1990-01-01 00:00:00,127.9,C$127.90,null,null
1992-01-01 00:00:00,124.06,C$124.06,null,null
1994-01-01 00:00:00,206.17,C$206.17,null,null
1996-01-01 00:00:00,112.37,C$112.37,null,null
1998-01-01 00:00:00,229.52,C$229.52,null,null
2000-01-01 00:00:00,174.79,C$174.79,null,null
2002-01-01 00:00:00,255.48,C$255.48,null,null
2004-01-01 00:00:00,206.8,C$206.80,null,null
2006-01-01 00:00:00,364.35,C$364.35,null,null
2008-01-01 00:00:00,390.04,C$390.04,null,null
2010-01-01 00:00:00,226.18,C$226.18,null,null
2012-01-01 00:00:00,400.81,C$400.81,null,null
2014-01-01 00:00:00,276.04,C$276.04,null,null
2016-01-01 00:00:00,356.15,C$356.15,null,null
2018-01-01 00:00:00,479.34,C$479.34,null,null
2020-01-01 00:00:00,323.44,C$323.44,null,null
2022-01-01 00:00:00,446.19,C$446.19,null,null
2024-01-01 00:00:00,542.68,C$542.68,null,null
2024-02-28 00:00:00,467.34,C$467.34,Today,Today\
2024-08-28 00:00:00,486.28,C$486.28,Estimate,Estimated value of this set
2025-08-28 00:00:00,486.28,C$486.28,null,null
2026-02-28 00:00:00,486.28,C$486.28,null,null
